7-EBAP-BAC-SB-IN-SWE,SWITCH ETHERNET,VFP,6-EBAP-BAC-SB-IN
7-EBAP-BAC-SB-IN-UAC,UPS UPS AC,VFP,6-EBAP-BAC-SB-IN
6-EBAP-BAC-SB-MT,MEDIA TENSION,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-MT-TRF,BANCO DE TRANSFORMADORES SISTEMA DE TRANSFORMACION PRINCIPAL,VFP,6-EBAP-BAC-SB-MT
6-EBAP-BAC-SB-SP,SISTEMA DE PROTECCION,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-SP-PRT,PUESTA A TIERRA SISTEMA DE PROTECCION,VFP,6-EBAP-BAC-SB-SP
6-EBAP-BAC-SB-TM,TELEMETRIA,P,5-EBAP-BAC-SB
7-EBAP-BAC-SB-TM-RD1,RADIO IO TANQUE RADIO 1,VFP,6-EBAP-BAC-SB-TM
7-EBAP-BAC-SB-TM-RD2,RADIO RIPEX RADIO 2,VFP,6-EBAP-BAC-SB-TM
7-EBAP-BAC-SB-TM-RD3,RADIO MODEM DNP3 SCADA RADIO 3,VFP,6-EBAP-BAC-SB-TM
7-EBAP-BAC-SB-TM-UDC,SISTEMA DE RESPALDO SCADA UPS DC,VFP,6-EBAP-BAC-SB-TM
4-EBAP-BBB,ESTACION DE BOMBEO AAPP BIM BAM BUM,P,-
5-EBAP-BBB-IF,INFRAESTRUCTURA,P,4-EBAP-BBB
6-EBAP-BBB-IF-ES,ESTRUCTURA,P,5-EBAP-BBB-IF
7-EBAP-BBB-IF-ES-INF,None ESTRUCTURAS DE LA ESTACION,VFP,6-EBAP-BBB-IF-ES
5-EBAP-BBB-SB,SISTEMA DE BOMBEO,P,4-EBAP-BBB
6-EBAP-BBB-SB-BM,BOMBEO,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-BM-GB1,BANCO DE CAPACITORES 1 GRUPO 1,VFP,6-EBAP-BBB-SB-BM
7-EBAP-BBB-SB-BM-GB2,ARRANCADOR SUAVE 2 GRUPO 2,VFP,6-EBAP-BBB-SB-BM
6-EBAP-BBB-SB-DI,SISTEMA DE DISTRIBUCION,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-DI-ILP,SISTEMA DE ENCENDIDO DE LUMINARIAS TABLERO DE ILUMINACION,VFP,6-EBAP-BBB-SB-DI
7-EBAP-BBB-SB-DI-MCC,CENTRO DE CARGA,VFP,6-EBAP-BBB-SB-DI
7-EBAP-BBB-SB-DI-MPE,MEDIDOR DE PARAMETROS ELECTRICOS,VFP,6-EBAP-BBB-SB-DI
7-EBAP-BBB-SB-DI-MTP,TABLERO EXTERNO TABLERO DE MEDIDOR,VFP,6-EBAP-BBB-SB-DI
7-EBAP-BBB-SB-DI-PWP,TABLERO PRINCIPAL TABLERO DE FUERZA,VFP,6-EBAP-BBB-SB-DI
6-EBAP-BBB-SB-IL,SISTEMA DE ILUMINACION,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-IL-ILE,ILUMINACION EXTERNA,VFP,6-EBAP-BBB-SB-IL
7-EBAP-BBB-SB-IL-ILI,ILUMINACION INTERNA,VFP,6-EBAP-BBB-SB-IL
6-EBAP-BBB-SB-IN,SISTEMA DE INSTRUMENTACION Y CONTROL,P,5-EBAP-BBB-SB
7-EBAP-BBB-SB-IN-HMI,HMI,VFP,6-EBAP-BBB-SB-IN
